470950 	0.042863 	324594 	0.029543 	297341 	0.027062 	677997 	0.061708 	2019170 	0.183774 	2003348 	0.182334 	1385085 	0.126063 	1269236 	0.115519 	1016637 	0.092529 	671086 	0.061079 	286347 	0.026062 	220646 	0.020082 	133995 	0.012196 	72926 	0.006637 	55675 	0.005067 	35473 	0.003229 	16187 	0.001473 	7854 	0.000715 	3276 	0.000298 	1680 	0.000153 	62 	0.000006 
517208 	0.044200 	339246 	0.028991 	306227 	0.026170 	591565 	0.050554 	2092083 	0.178786 	2227832 	0.190387 	1433251 	0.122483 	1353834 	0.115696 	1119254 	0.095650 	785204 	0.067102 	304552 	0.026027 	236811 	0.020237 	148108 	0.012657 	73797 	0.006307 	56290 	0.004810 	38496 	0.003290 	16885 	0.001443 	8782 	0.000750 	3542 	0.000303 	1920 	0.000164 	51 	0.000004 
551259 	0.044826 	349362 	0.028409 	307362 	0.024993 	521957 	0.042443 	2167439 	0.176248 	2461370 	0.200149 	1470629 	0.119586 	1405159 	0.114262 	1187931 	0.096598 	882935 	0.071797 	309630 	0.025178 	241152 	0.019610 	157703 	0.012824 	72581 	0.005902 	54486 	0.004431 	39984 	0.003251 	16920 	0.001376 	9438 	0.000767 	3659 	0.000298 	2058 	0.000167 	38 	0.000003 
565211 	0.044592 	353356 	0.027878 	300206 	0.023685 	487267 	0.038443 	2239790 	0.176708 	2679877 	0.211429 	1493766 	0.117850 	1407607 	0.111053 	1203821 	0.094975 	945381 	0.074586 	298837 	0.023577 	231056 	0.018229 	160312 	0.012648 	69428 	0.005478 	50368 	0.003974 	39434 	0.003111 	16212 	0.001279 	9654 	0.000762 	3582 	0.000283 	2049 	0.000162 	26 	0.000002 
56843 	0.043490 	35935 	0.027493 	29357 	0.022460 	51310 	0.039257 	235786 	0.180398 	292465 	0.223762 	153755 	0.117636 	138724 	0.106137 	118516 	0.090675 	98087 	0.075046 	28046 	0.021457 	21295 	0.016293 	15869 	0.012141 	6672 	0.005105 	4593 	0.003514 	3774 	0.002888 	1526 	0.001167 	958 	0.000733 	340 	0.000260 	193 	0.000147 	2 	0.000001 
559307 	0.041667 	366914 	0.027334 	289251 	0.021548 	604875 	0.045062 	2512135 	0.187147 	3173383 	0.236409 	1598336 	0.119072 	1340147 	0.099837 	1126772 	0.083942 	979901 	0.073000 	257394 	0.019175 	189538 	0.014120 	152713 	0.011377 	65162 	0.004854 	42090 	0.003136 	35127 	0.002617 	14233 	0.001060 	9196 	0.000685 	3130 	0.000233 	1703 	0.000127 	16 	0.000001 
539089 	0.039396 	375509 	0.027442 	289060 	0.021124 	758520 	0.055432 	2687246 	0.196381 	3399212 	0.248410 	1669487 	0.122004 	1268642 	0.092711 	1031230 	0.075361 	938324 	0.068572 	234194 	0.017115 	165200 	0.012073 	143290 	0.010471 	65367 	0.004777 	39788 	0.002908 	32056 	0.002343 	13366 	0.000977 	8557 	0.000625 	2829 	0.000207 	1409 	0.000103 	22 	0.000002 
515134 	0.037013 	386982 	0.027805 	295892 	0.021260 	965542 	0.069375 	2883562 	0.207188 	3600524 	0.258702 	1753852 	0.126016 	1189538 	0.085470 	915594 	0.065787 	865420 	0.062181 	216988 	0.015591 	145605 	0.010462 	133049 	0.009560 	68016 	0.004887 	39909 	0.002868 	29316 	0.002106 	12938 	0.000930 	7828 	0.000562 	2569 	0.000185 	1106 	0.000079 	35 	0.000003 
492953 	0.034841 	401296 	0.028362 	309967 	0.021908 	1209416 	0.085478 	3090976 	0.218462 	3767229 	0.266257 	1846696 	0.130519 	1115959 	0.078873 	795238 	0.056205 	770956 	0.054489 	209051 	0.014775 	134075 	0.009476 	123974 	0.008762 	73004 	0.005160 	42590 	0.003010 	27408 	0.001937 	13060 	0.000923 	7146 	0.000505 	2398 	0.000169 	840 	0.000059 	54 	0.000004 
477470 	0.033122 	418296 	0.029017 	330316 	0.022914 	1472168 	0.102124 	3302262 	0.229077 	3895708 	0.270244 	1944419 	0.134884 	1061027 	0.073603 	685915 	0.047582 	667271 	0.046288 	211473 	0.014670 	131907 	0.009150 	117660 	0.008162 	79838 	0.005538 	47457 	0.003292 	26620 	0.001847 	13727 	0.000952 	6622 	0.000459 	2339 	0.000162 	644 	0.000045 	77 	0.000005 

